timestamps,humidity,temperature,12HrsHighTemp,12HrsHighHumid
1600101669.0,93.3,29.8,0,0
1600101969.0,93.2,29.8,0,0
1600102269.0,93.4,29.8,0,0
1600102569.0,93.3,29.8,0,0
1600102869.0,93.2,29.8,0,0
1600103169.0,93.2,29.8,0,0
1600103469.0,93.0,29.8,0,0
1600103769.0,93.0,29.8,0,0
1600104069.0,92.9,29.8,0,0
1600104369.0,93.0,29.8,0,0
1600104669.0,92.9,29.8,0,0
1600104969.0,92.9,29.8,0,0
1600105269.0,92.8,29.8,0,0
1600105569.0,92.9,29.8,0,0
1600105869.0,92.8,29.7,0,0
1600106169.0,92.9,29.7,0,0
1600106469.0,92.9,29.7,0,0
1600106769.0,92.9,29.7,0,0
1600107069.0,93.0,29.7,0,0
1600107369.0,93.0,29.7,0,0
1600107669.0,92.8,29.7,0,0
1600107969.0,92.9,29.7,0,0
1600108269.0,92.8,29.6,0,0
1600108569.0,93.3,29.6,0,0
1600108869.0,95.4,29.7,0,0
1600109169.0,96.8,29.6,0,0
1600109469.0,99.7,29.6,0,0
1600109769.0,99.9,29.6,0,0
1600110069.0,99.9,29.5,0,0
1600110369.0,99.9,29.5,0,0
1600110669.0,99.9,29.5,0,0
1600110969.0,99.9,29.4,0,0
1600111269.0,99.9,29.4,0,0
1600111569.0,99.9,29.4,0,0
1600111869.0,99.9,29.4,0,0
1600112169.0,99.9,29.3,0,0
1600112469.0,99.9,29.4,0,0
1600112769.0,99.9,29.4,0,0
1600113069.0,99.9,29.3,0,0
1600113369.0,99.9,29.3,0,0
1600113669.0,99.9,29.3,0,0
1600113969.0,99.9,29.3,1,1
1600114269.0,99.9,29.3,1,1
1600114569.0,99.9,29.3,1,1
1600114869.0,99.9,29.3,1,1
1600115169.0,99.9,29.3,1,1
1600115469.0,99.9,29.3,1,1
1600115769.0,99.9,29.2,1,1
1600116069.0,99.9,29.2,1,1
1600116369.0,99.9,29.15,1,1
1600116669.0,99.9,29.099999999999998,1,1
1600116969.0,99.9,29.05,1,1
1600117269.0,99.9,29.0,1,1
1600117569.0,99.9,28.95,1,1
1600117869.0,99.9,28.9,1,1
1600118169.0,99.9,28.85,1,1
1600118469.0,99.9,28.8,1,1
1600118769.0,99.9,28.75,1,1
1600119069.0,99.9,28.7,1,1
1600119369.0,99.9,28.65,1,1
1600119669.0,99.9,28.6,1,1
1600119969.0,99.9,28.55,1,1
1600120269.0,99.9,28.5,1,1
1600120569.0,99.9,28.4,1,1
1600120869.0,99.9,28.4,1,1
1600121169.0,99.9,28.5,1,1
1600121469.0,99.9,28.5,1,1
1600121769.0,99.9,28.6,1,1
1600122069.0,99.9,28.6,1,1
1600122369.0,99.9,28.6,1,1
1600122669.0,99.9,28.7,1,1
1600122969.0,99.9,28.7,1,1
1600123269.0,99.9,28.7,1,1
1600123569.0,99.9,28.8,1,1
1600123869.0,99.9,28.8,1,1
1600124169.0,99.9,28.9,1,1
1600124469.0,99.9,29.0,1,1
1600124769.0,99.9,29.0,1,1
1600125069.0,99.9,29.2,1,1
