timestamps,humidity,temperature,12HrsHighTemp,12HrsHighHumid
1600095465.0,67.3,30.5,0,0
1600095765.0,67.2,30.5,0,0
1600096065.0,67.5,30.5,0,0
1600096365.0,67.3,30.5,0,0
1600096665.0,67.3,30.4,0,0
1600096965.0,67.2,30.4,0,0
1600097265.0,67.4,30.4,0,0
1600097565.0,67.2,30.4,0,0
1600097865.0,67.0,30.4,0,0
1600098165.0,67.4,30.4,0,0
1600098465.0,67.4,30.4,0,0
1600098765.0,67.1,30.3,0,0
1600099065.0,67.3,30.3,0,0
1600099365.0,67.3,30.3,0,0
1600099665.0,67.5,30.3,0,0
1600099965.0,67.0,30.2,0,0
1600100265.0,67.2,30.2,0,0
1600100565.0,67.3,30.2,0,0
1600100865.0,67.1,30.2,0,0
1600101165.0,67.3,30.2,0,0
1600101465.0,67.2,30.1,0,0
1600101765.0,67.3,30.2,0,0
1600102065.0,67.3,30.2,0,0
1600102365.0,67.4,30.1,0,0
1600102665.0,67.3,30.1,0,0
1600102965.0,67.4,30.1,0,0
1600103265.0,67.3,30.1,1,0
1600103565.0,67.3,30.1,1,0
1600103865.0,67.3,30.1,1,0
1600104165.0,67.0,30.1,1,0
1600104465.0,66.9,30.1,1,0
1600104765.0,67.2,30.1,1,0
1600105065.0,66.9,30.0,1,0
1600105365.0,66.8,30.0,1,0
1600105665.0,67.1,30.0,1,0
1600105965.0,67.1,30.0,1,0
1600106265.0,67.5,30.0,1,0
1600106565.0,67.4,30.0,1,0
1600106865.0,67.2,30.0,1,0
1600107165.0,67.2,29.9,1,0
1600107465.0,67.1,29.9,1,0
1600107765.0,67.2,29.9,1,0
1600108065.0,67.0,29.9,1,0
1600108365.0,67.2,29.9,1,0
1600108665.0,67.9,29.9,1,0
1600108965.0,69.4,29.9,1,0
1600109265.0,71.0,29.9,1,0
1600109565.0,72.4,29.9,1,0
1600109865.0,73.8,30.0,1,0
1600110165.0,74.1,29.9,1,0
1600110465.0,75.9,29.9,1,0
1600110765.0,77.5,30.0,1,0
1600111065.0,77.8,29.9,1,0
1600111365.0,78.9,30.0,1,0
1600111665.0,79.3,29.9,1,0
1600111965.0,80.0,30.0,1,0
1600112265.0,80.9,30.0,1,0
1600112565.0,81.5,30.0,1,0
1600112865.0,81.9,30.0,1,0
1600113165.0,82.5,30.1,1,0
1600113465.0,83.2,30.0,1,0
1600113765.0,83.2,30.0,1,0
1600114066.0,84.6,30.0,1,0
1600114366.0,85.6,30.0,1,0
1600114666.0,85.8,30.0,1,0
1600114966.0,86.4,30.0,1,0
1600115266.0,86.7,30.0,1,0
1600115566.0,87.3,30.0,1,0
1600115866.0,88.4,29.9,1,0
1600116166.0,88.6,29.9,1,0
1600116466.0,89.7,29.9,1,0
1600116766.0,90.2,29.8,1,0
1600117066.0,90.1,29.8,1,0
1600117366.0,91.0,29.7,1,0
1600117666.0,91.8,29.6,1,0
1600117966.0,92.5,29.4,1,0
1600118266.0,93.1,29.2,1,0
1600118566.0,93.5,29.0,1,0
1600118866.0,93.7,28.9,1,0
1600119166.0,94.2,28.9,1,0
1600119466.0,94.5,28.9,1,0
1600119766.0,94.7,28.9,1,0
1600120066.0,94.9,28.9,1,0
1600120366.0,95.2,28.9,1,0
1600120666.0,95.2,28.9,1,0
1600120966.0,95.2,28.9,1,0
1600121266.0,95.3,28.8,1,0
1600121566.0,95.3,28.8,1,0
1600121866.0,95.4,28.8,1,0
1600122166.0,95.4,28.9,1,0
1600122466.0,95.5,28.9,1,0
1600122766.0,95.5,29.0,1,0
1600123066.0,95.5,29.0,1,0
1600123366.0,95.5,29.1,1,0
1600123666.0,95.6,29.1,1,0
1600123966.0,95.6,29.2,1,0
1600124266.0,95.7,29.3,1,0
1600124566.0,95.7,29.3,1,0
1600124866.0,95.7,29.4,1,0
1600125166.0,95.7,29.5,1,0
1600125466.0,95.7,29.6,1,0
1600125766.0,95.7,29.7,1,0
1600126066.0,95.6,29.9,1,0
1600126366.0,95.1,30.0,1,0
1600126666.0,94.8,30.0,1,0
1600126966.0,94.8,30.0,1,0
1600127266.0,94.9,30.0,1,0
1600127566.0,94.9,30.1,1,0
1600127866.0,94.9,30.2,1,0
1600128166.0,94.9,30.3,1,0
1600128466.0,84.3,30.1,1,0
1600128766.0,91.7,29.9,1,0
1600129066.0,93.3,30.0,1,0
1600129366.0,93.7,30.3,1,0
1600129666.0,93.8,30.5,1,0
1600129966.0,83.7,30.5,1,0
1600130266.0,89.3,30.4,1,0
1600130566.0,86.5,30.5,1,0
1600130866.0,85.0,30.5,1,0
1600131166.0,89.6,30.6,1,0
1600131466.0,85.0,30.8,1,0
1600131766.0,77.7,30.7,1,0
1600132066.0,79.8,30.0,1,0
1600132366.0,82.6,29.2,1,1
1600132666.0,84.9,28.7,1,1
1600132966.0,87.3,28.4,1,1
1600133266.0,88.0,28.5,1,1
1600133566.0,85.1,28.7,1,1
1600133866.0,83.7,28.8,1,1
1600134166.0,83.2,28.9,1,1
1600134466.0,82.6,29.1,1,1
1600134766.0,80.0,29.2,1,1
1600135066.0,80.4,29.4,1,1
1600135366.0,78.7,29.5,1,1
1600135666.0,77.7,29.6,1,1
1600135966.0,76.7,29.8,1,1
1600136266.0,74.0,30.0,1,1
1600136567.0,75.8,30.2,1,1
1600136867.0,75.3,30.3,1,1
1600137167.0,72.7,30.5,1,1
1600137467.0,70.7,30.7,1,1
1600137767.0,71.7,30.9,1,1
1600138067.0,77.6,31.1,1,1
1600138367.0,70.2,31.1,1,1
1600138667.0,73.4,31.2,1,1
1600138967.0,71.8,31.3,1,1
1600139267.0,71.3,31.3,1,1
1600139567.0,69.8,31.4,1,1
1600139867.0,67.6,31.4,1,1
1600140167.0,71.8,31.5,1,1
1600140467.0,67.9,31.5,1,1
1600140767.0,70.7,31.7,1,1
1600141067.0,65.3,31.7,1,1
1600141367.0,69.8,31.9,1,1
1600141667.0,66.7,31.9,1,1
1600141967.0,69.8,31.9,1,1
1600142267.0,67.8,31.9,1,1
1600142567.0,69.6,32.0,1,1
1600142867.0,65.6,32.1,1,1
1600143167.0,69.9,32.1,1,1
1600143467.0,65.6,32.2,1,1
1600143767.0,70.6,32.3,1,1
1600144067.0,66.3,32.3,1,1
1600144367.0,68.3,32.4,1,1
1600144667.0,66.1,32.6,1,1
1600144967.0,68.3,32.8,1,1
1600145267.0,66.5,32.8,1,1
1600145567.0,67.7,33.0,1,1
1600145867.0,65.4,32.9,1,1
1600146167.0,64.8,33.0,1,1
1600146467.0,63.9,32.8,1,1
1600146767.0,67.5,32.9,1,1
1600147067.0,75.4,32.6,1,1
1600147367.0,78.7,31.9,1,1
1600147667.0,79.6,31.3,1,1
1600147967.0,80.2,30.9,1,1
1600148267.0,81.3,30.6,1,1
1600148567.0,83.2,30.5,1,1
1600148867.0,84.6,30.5,1,1
1600149167.0,82.7,30.6,1,1
1600149467.0,82.2,30.7,1,1
1600149767.0,81.3,31.0,1,1
1600150067.0,79.3,31.3,1,1
1600150367.0,77.0,31.5,1,1
1600150667.0,77.8,31.6,1,1
1600150967.0,77.2,31.8,1,1
1600151267.0,75.9,31.8,1,1
1600151567.0,78.8,32.0,1,1
1600151867.0,74.4,32.0,1,1
1600152167.0,75.0,31.9,1,1
1600152467.0,75.4,31.9,1,1
1600152767.0,74.3,31.9,1,1
1600153067.0,74.4,32.0,1,1
1600153367.0,75.4,31.8,1,1
1600153667.0,76.8,31.8,1,1
