timestamps,humidity,temperature,12HrsHighTemp,12HrsHighHumid
1600104683.0,68.74545454545455,29.945454545454545,1,0
1600104983.0,68.73636363636363,29.936363636363634,1,0
1600105283.0,68.72727272727273,29.927272727272726,1,0
1600105583.0,68.71818181818182,29.918181818181818,1,0
1600105883.0,68.70909090909092,29.909090909090907,1,0
1600106183.0,68.7,29.9,1,0
1600106483.0,68.4,29.9,1,0
1600106783.0,68.7,29.9,1,0
1600107083.0,68.6,29.9,1,0
1600107383.0,68.5,29.8,1,0
1600107683.0,68.3,29.8,1,0
1600107983.0,68.5,29.8,1,0
1600108283.0,68.4,29.9,1,0
1600108583.0,68.9,29.8,1,0
1600108883.0,71.6,29.8,1,0
1600109183.0,74.8,29.8,1,0
1600109483.0,75.1,29.8,1,0
1600109783.0,76.0,29.8,1,0
1600110083.0,76.4,29.7,1,0
1600110383.0,79.0,29.8,1,0
1600110683.0,79.1,29.7,1,0
1600110983.0,80.2,29.7,1,0
1600111283.0,81.1,29.7,1,0
1600111583.0,82.0,29.7,1,0
1600111883.0,81.9,29.7,1,0
1600112183.0,83.0,29.7,1,0
1600112483.0,83.4,29.7,1,0
1600112783.0,84.3,29.7,1,0
1600113083.0,84.6,29.7,1,0
1600113383.0,84.7,29.6,1,0
1600113683.0,85.8,29.7,1,0
1600113983.0,86.6,29.7,1,0
1600114283.0,87.1,29.6,1,0
1600114583.0,87.6,29.6,1,0
1600114883.0,88.3,29.6,1,0
1600115183.0,89.0,29.6,1,0
1600115483.0,89.1,29.6,1,0
1600115783.0,90.9,29.5,1,0
1600116083.0,90.9,29.5,1,0
1600116383.0,90.8,29.5,1,0
1600116683.0,91.0,29.4,1,0
1600116983.0,91.2,29.4,1,0
1600117283.0,91.8,29.3,1,0
1600117583.0,92.6,29.2,1,0
1600117883.0,93.3,29.1,1,0
1600118183.0,93.7,28.9,1,0
1600118483.0,94.1,28.9,1,0
1600118783.0,94.3,28.8,1,0
1600119083.0,94.7,28.7,1,0
1600119383.0,94.9,28.7,1,0
1600119683.0,95.3,28.8,1,0
1600119983.0,95.4,28.7,1,0
1600120283.0,95.5,28.7,1,0
1600120583.0,95.8,28.8,1,0
1600120883.0,95.9,28.8,1,0
1600121183.0,96.0,28.8,1,0
1600121483.0,96.1,28.8,1,0
1600121783.0,96.2,28.9,1,0
1600122083.0,96.2,28.9,1,0
1600122383.0,96.2,28.9,1,0
1600122683.0,96.1,28.9,1,0
1600122983.0,96.2,29.0,1,0
1600123283.0,96.2,29.0,1,0
1600123583.0,96.2,29.1,1,0
1600123883.0,96.1,29.1,1,0
1600124183.0,96.2,29.2,1,0
1600124483.0,96.2,29.3,1,0
1600124784.0,96.2,29.4,1,0
1600125084.0,96.2,29.5,1,0
1600125384.0,96.1,29.6,1,0
1600125684.0,96.1,29.7,1,0
1600125984.0,96.0,29.8,1,0
1600126284.0,96.0,29.9,1,0
1600126584.0,95.8,30.0,1,0
1600126884.0,95.7,30.0,1,0
1600127184.0,95.6,30.1,1,0
